Journal Page,Twp Name,Twp No,Lot No,Bounds,Alt Lot,Alt bounds,Bounds Text,Direction,Corner,Corner Observations,Chains,Links,Observation,Destination Corner,Transcriber
47,Hector,21,10,East,Townline,West,,South,,,80,,A Stake Standing in the East bounds of the Town 10 links East of a Maple Tree marked and Numbered for the Corner of No. 10 & 19 by the Southeast & Northeast Corner thereof. ,SE,JuneSzabo
47,Hector,21,10,East,Townline,West,Good Land bearing Beach Maple Elm White Ash Basswood etc.,,,,,,,,
46,Hector,21,10,West,9,East,see Lot 9 east,,,,,,,NW,Judy
,,,,,,,,,,,,,,,
17,Hector,21,11,North,2,South,,East,SW,Beginning at a large Pitch pine tree Standing on the bank of the Lake being 485 Links South of the Line or Corner Marked and Numbered for the Northwest & Southwest Corner of Lots No. 11 & 2,0,,,,JuneSzabo
17,Hector,21,11,North,2,South,,East,,,,135,Crossed a dry run bear: Northwesterly Excellent Land,,
18,Hector,21,11,North,2,South,,East,,,54,,The road the Land is very good and well timbered,,JuneSzabo
18,Hector,21,11,North,2,South,,East,,,94,,Crossed a dry run bear: Northwesterly Excellent Land,,JuneSzabo
18,Hector,21,11,North,2,South,,East,,,142,50,Intersected the East Bounds of the Lake Lots -Vide Northeast & Southwest – page 2,SE,JuneSzabo
18,Hector,21,11,North,2,South,No Journal Entry,,,,,,,,
17,Hector,21,11,South,20,North,,East,SW,Beginning at a poplar tree standing on the bank of the lake Marked and Numbered for the Northwest & Southwest Corner of Lots No. 20 & 11,0,,,,
17,Hector,21,11,South,20,North,,East,,,30,50,Crossed the Road – Ascending – good land,,JuneSzabo
17,Hector,21,11,South,20,North,,East,,,70,,Opposite to an Emprovement [sic] made by Peter Love and now Occupied by Wm Livingston. Timber here is White Oak Hickory Elm etc.,,JuneSzabo
17,Hector,21,11,South,20,North,,East,,,105,,Crossed a fine spring brook Running Northwesterly good land,,JuneSzabo
17,Hector,21,11,South,20,North,,East,,,153,,Intersected the East Bound of the lake Lots - Vide Northeast & Southeast Corner of Lots  No. 20 & 11 page 2,SE,JuneSzabo
17,Hector,21,11,South,20,North,No Journal Entry,East,,,,,,,
2,Hector,21,11,East,12,West,,South,NE,No Journal Entry,0,,,,
2,Hector,21,11,East,12,West,,South,,,15,,Land Continues good,,
2,Hector,21,11,East,12,West,,South,,,47,,A White ash Stake standing between two White Oak trees each  twenty Links Distant from the Stake Marked for the Southeast & Northeast Corner of Lots No. 11 & 20 ,SE,Charlotte
2,Hector,21,11,East,12,West,Here the soil is thinly covered with timber,South,,,,,,,
,Hector,21,11,West,Lake,,No Journal Entry,,,,,,,,
,,,,,,,,,,,,,,,
54,Hector,21,12,North,3,South,,East,NW,Beginning at a White Oak Tree Marked and Numbered for the Southwest and Northwest Corner of Lots No. 3 & 12  Standing in the East Bounds of Lot No. 2,0,,,,
54,Hector,21,12,North,3,South,,East,,,32,,A fine Brook running Southwesterly,,Rebecca
54,Hector,21,12,North,3,South,,East,,,77,57," The Corner of Lots No. 3, 4, 12 & 13 Vide  Page 23",NE,Rebecca
54,Hector,21,12,North,3,South,Land Somewhat uneven but the soil pretty good Bearing fine thrifty Chesnut,,,,,,,,
58,Hector,21,12,South,22,North,,West,SE,"Beginning at the Corner last Mentioned  [Corner of Lots No. 12, 13, 22 & 23 Vide Page 23]",0,,,,
58,Hector,21,12,South,22,North,,West,,,55,,Crossed a Brook running Southwesterly,,Rebecca
58,Hector,21,12,South,22,North,,West,,,61,,Crossed a small run,,Rebecca
